,Unnamed: 0,Medel- folkmängd,Födda,Döda,Naturlig befolknings- förändring,Nativitet (per 1000),Dödstal (per 1000),Naturlig befolknings- förändring (per 1000),Total fertilitet
0,1900,5 117 000,138 139,86 146,51 993,270.0,168.0,102.0,402.0
1,1901,5 156 000,139 370,82 772,56 598,270.0,161.0,110.0,404.0
2,1902,5 187 000,137 364,79 722,57 642,265.0,154.0,111.0,395.0
3,1903,5 210 000,133 896,78 610,55 286,257.0,151.0,106.0,382.0
4,1904,5 241 000,134 952,80 152,54 800,257.0,153.0,105.0,383.0
5,1905,5 278 000,135 409,82 443,52 966,257.0,156.0,100.0,383.0
6,1906,5 316 000,136 620,76 366,60 254,257.0,144.0,113.0,381.0
7,1907,5 357 000,136 793,78 149,58 644,255.0,146.0,109.0,377.0
8,1908,5 404 000,138 874,80 568,58 306,257.0,149.0,108.0,379.0
9,1909,5 453 000,139 505,74 538,64 967,256.0,137.0,119.0,371.0
10,1910,5 499 000,135 625,77 212,58 413,247.0,140.0,106.0,360.0
11,1911,5 542 000,132 977,76 462,56 515,240.0,138.0,102.0,349.0
12,1912,5 583 000,132 868,79 241,53 627,238.0,142.0,96.0,344.0
13,1913,5 621 000,130 200,76 724,53 476,232.0,136.0,95.0,332.0
14,1914,5 659 000,129 458,78 311,51 147,229.0,138.0,90.0,329.0
15,1915,5 696 000,122 997,83 587,39 410,216.0,147.0,69.0,306.0
16,1916,5 735 000,121 679,77 771,43 908,212.0,136.0,77.0,299.0
17,1917,5 779 000,120 855,77 385,43 470,209.0,134.0,75.0,293.0
18,1918,5 807 000,117 955,104 594,13 361,203.0,180.0,23.0,283.0
19,1919,5 830 000,115 193,84 289,30 904,198.0,145.0,53.0,272.0
20,1920,5 876 000,138 753,78 128,60 625,236.0,133.0,103.0,322.0
21,1921,5 929 000,127 723,73 536,54 187,215.0,124.0,91.0,293.0
22,1922,5 971 000,116 946,76 343,40 603,196.0,128.0,68.0,266.0
23,1923,5 997 000,113 435,68 424,45 011,189.0,114.0,75.0,255.0
24,1924,6 021 000,109 055,72 001,37 054,181.0,120.0,62.0,243.0
25,1925,6 045 000,106 292,70 918,35 374,176.0,117.0,59.0,234.0
26,1926,6 064 000,102 007,71 344,30 663,168.0,118.0,51.0,222.0
27,1927,6 081 000,97 994,77 219,20 775,161.0,127.0,34.0,211.0
28,1928,6 097 000,97 868,73 267,24 601,161.0,120.0,40.0,208.0
29,1929,6 113 000,92 861,74 538,18 323,152.0,122.0,30.0,195.0
30,1930,6 131 000,94 220,71 790,22 430,154.0,117.0,37.0,196.0
31,1931,6 152 000,91 074,77 121,13 953,148.0,125.0,23.0,188.0
32,1932,6 176 000,89 779,71 459,18 320,145.0,116.0,30.0,183.0
33,1933,6 201 000,85 020,69 607,15 413,137.0,112.0,25.0,172.0
34,1934,6 222 000,85 092,69 921,15 171,137.0,112.0,24.0,167.0
35,1935,6 242 000,85 906,72 813,13 093,138.0,117.0,21.0,170.0
36,1936,6 259 000,88 938,74 836,14 102,142.0,120.0,23.0,175.0
37,1937,6 276 000,90 373,75 392,14 981,144.0,120.0,24.0,177.0
38,1938,6 297 000,93 946,72 693,21 253,149.0,115.0,34.0,184.0
39,1939,6 326 000,97 380,72 876,24 504,154.0,115.0,39.0,190.0
40,1940,6 356 000,95 778,72 748,23 030,151.0,114.0,36.0,186.0
41,1941,6 389 000,99 727,71 910,27 817,156.0,113.0,44.0,192.0
42,1942,6 432 000,113 961,63 741,50 220,177.0,99.0,78.0,219.0
43,1943,6 491 000,125 392,66 105,59 287,193.0,102.0,91.0,241.0
44,1944,6 560 000,134 991,72 284,62 707,206.0,110.0,96.0,261.0
45,1945,6 636 000,135 373,71 901,63 472,204.0,108.0,96.0,263.0
46,1946,6 719 000,132 597,70 635,61 962,197.0,105.0,92.0,257.0
47,1947,6 803 000,128 779,73 579,55 200,189.0,108.0,81.0,250.0
48,1948,6 883 000,126 683,67 693,58 990,184.0,98.0,86.0,247.0
49,1949,6 956 000,121 272,69 537,51 735,174.0,100.0,74.0,239.0
50,1950,7 014 000,115 414,70 296,45 118,165.0,100.0,64.0,228.0
51,1951,7 073 000,110 168,69 799,40 369,156.0,99.0,57.0,220.0
52,1952,7 125 000,110 192,68 270,41 922,155.0,96.0,59.0,222.0
53,1953,7 171 000,110 144,69 553,40 591,154.0,97.0,57.0,225.0
54,1954,7 213 000,105 096,69 030,36 066,146.0,96.0,50.0,218.0
55,1955,7 262 000,107 305,68 634,38 671,148.0,95.0,53.0,225.0
56,1956,7 315 000,107 960,70 205,37 755,148.0,96.0,52.0,229.0
57,1957,7 364 000,107 168,73 132,34 036,146.0,99.0,46.0,229.0
58,1958,7 409 000,105 502,71 065,34 437,142.0,96.0,46.0,226.0
59,1959,7 446 000,104 743,70 889,33 854,141.0,95.0,45.0,229.0
60,1960,7 480 000,102 219,75 093,27 126,137.0,100.0,36.0,217.0
61,1961,7 520 000,104 501,73 555,30 946,139.0,98.0,41.0,221.0
62,1962,7 562 000,107 284,76 791,30 493,142.0,102.0,40.0,225.0
63,1963,7 604 000,112 903,76 460,36 443,148.0,101.0,48.0,233.0
64,1964,7 661 000,122 664,76 661,46 003,160.0,100.0,60.0,247.0
65,1965,7 734 000,122 806,78 194,44 612,159.0,101.0,58.0,239.0
66,1966,7 808 000,123 354,78 440,44 914,158.0,100.0,58.0,237.0
67,1967,7 868 000,121 360,79 783,41 577,154.0,101.0,53.0,228.0
68,1968,7 914 000,113 087,82 476,30 611,143.0,104.0,39.0,207.0
69,1969,7 968 000,107 622,83 352,24 270,135.0,105.0,30.0,194.0
70,1970,8 043 000,110 150,80 026,30 124,137.0,99.0,37.0,194.0
71,1971,8 098 000,114 484,82 717,31 767,141.0,102.0,39.0,198.0
72,1972,8 122 000,112 273,84 051,28 222,138.0,103.0,35.0,193.0
73,1973,8 137 000,109 663,85 640,24 023,135.0,105.0,30.0,188.0
74,1974,8 161 000,109 874,86 316,23 558,135.0,106.0,29.0,191.0
75,1975,8 193 000,103 632,88 208,15 424,126.0,108.0,19.0,178.0
76,1976,8 222 000,98 345,90 677,7 668,120.0,110.0,9.0,170.0
77,1977,8 252 000,96 057,88 202,7 855,116.0,107.0,10.0,164.0
78,1978,8 276 000,93 248,89 681,3 567,113.0,108.0,4.0,161.0
79,1979,8 294 000,96 255,91 074,5 181,116.0,110.0,6.0,166.0
80,1980,8 310 000,97 064,91 800,5 264,117.0,110.0,6.0,169.0
81,1981,8 320 000,94 065,92 034,2 031,113.0,111.0,2.0,163.0
82,1982,8 325 000,92 748,90 671,2 077,111.0,109.0,2.0,160.0
83,1983,8 329 000,91 780,90 791,989,110.0,109.0,1.0,161.0
84,1984,8 337 000,93 889,90 483,3 406,113.0,109.0,4.0,166.0
85,1985,8 350 000,98 463,94 032,4 431,118.0,113.0,5.0,174.0
86,1986,8 370 000,101 950,93 295,8 655,122.0,111.0,10.0,179.0
87,1987,"8 397 799,0",104 699,93 307,11 392,125.0,111.0,14.0,184.0
88,1988,"8 436 485,5",112 080,96 743,15 337,133.0,115.0,18.0,196.0
89,1989,"8 492 962,0",116 023,92 110,23 913,137.0,108.0,28.0,202.0
90,1990,"8 558 833,0",123 938,95 161,28 777,145.0,111.0,34.0,214.0
91,1991,"8 617 374,5",123 737,95 202,28 535,144.0,110.0,33.0,212.0
92,1992,"8 668 066,0",122 848,94 710,28 138,142.0,109.0,32.0,209.0
93,1993,"8 718 561,0",117 998,97 008,20 990,135.0,111.0,24.0,200.0
94,1994,"8 780 745,0",112 257,91 844,20 413,128.0,105.0,23.0,190.0
95,1995,"8 826 938,5",103 326,96 910,6 416,117.0,110.0,7.0,174.0
96,1996,"8 840 997,5",95 297,94 133,1 164,108.0,106.0,1.0,161.0
97,1997,"8 846 062,0",89 171,92 674,-3 503,101.0,105.0,-4.0,152.0
98,1998,"8 850 973,5",88 384,92 891,-4 507,100.0,105.0,-5.0,151.0
99,1999,"8 857 874,0",88 173,94 726,-6 553,100.0,107.0,-7.0,150.0
100,2000,"8 872 109,0",90 441,93 285,-2 844,102.0,105.0,-3.0,154.0
101,2001,"8 895 960,0",91 466,93 752,-2 286,103.0,105.0,-3.0,157.0
102,2002,"8 924 958,0",95 815,95 009,806,107.0,106.0,1.0,165.0
103,2003,"8 958 229,0",99 157,92 961,6 196,111.0,104.0,7.0,171.0
104,2004,"8 993 531,0",100 928,90 532,10 396,112.0,101.0,12.0,175.0
105,2005,"9 029 572,0",101 346,91 710,9 636,112.0,102.0,11.0,177.0
106,2006,"9 080 504,5",105 913,91 177,14 736,117.0,100.0,16.0,185.0
107,2007,"9 148 092,0",107 421,91 729,15 692,117.0,100.0,17.0,188.0
108,2008,"9 219 637,0",109 301,91 449,17 852,119.0,99.0,19.0,191.0
109,2009,"9 298 514,5",111 801,90 080,21 721,120.0,97.0,23.0,194.0
110,2010,"9 378 126,0",115 641,90 487,25 154,123.0,96.0,27.0,198.0
111,2011,"9 449 212,5",111 770,89 938,21 832,118.0,95.0,23.0,190.0
112,2012,"9 519 374,0",113 177,91 938,21 239,119.0,97.0,22.0,191.0
113,2013,"9 600 378,5",113 593,90 402,23 191,118.0,94.0,24.0,189.0
114,2014,"9 696 109,5",114 907,88 976,25 931,119.0,92.0,27.0,188.0
115,2015,"9 799 186,0",114 870,90 907,23 963,117.0,93.0,24.0,185.0
116,2016,"9 923 085,0",117 425,90 982,26 443,118.0,92.0,26.0,185.0
117,2017,"10 057 697,5",115 416,91 972,23 444,114.0,91.0,23.0,179.0
118,2018,"10 175 213,5",115 832,92 185,23 647,113.0,90.0,23.0,175.0
119,2019,"10 278 887,0",114 523,88 766,28 727,111.0,87.0,24.0,170.0
120,2020,"10 353 442,0",113 077,98 124,14 953,109.0,95.0,14.0,166.0
121,2021,"10 415 810,5",114 263,91 958,22 305,110.0,88.0,22.0,
122,2022,"10 521 556,0",104 734,94 737,9 997,,,,
